#
# INPUTFILE 
# ENERGYOUT energy.dat
# GEOMOUT geometry.xyz
# RANDOMSEED 41
# DESIREDTEMPERATURE 298.150000 K
# BOUNDARY 10.000000 A
# BOUNDARYSPRING 250.000000 kcal/(mol*A^2)
# BOUNDARYTYPE sphere
# STATUSWAITTIME 5.000000 s
# ENERGYWAITTIME 0.001000 ps
# GEOMWAITTIME 0.001000 ps
# TOTALTIME 0.500000 ps
# TIMESTEP 0.000500 ps
# EQTIME 0.000000 ps
# EQRATE 2.000000 p
#
# -- ENERGY DATA --
#
# energy terms [kcal/mol]
#  time      e_total      e_kin      e_pot  e_nonbond   e_bonded e_boundary      e_vdw     e_elst     e_bond    e_angle     e_tors      e_oop
 0.0980  2.07133e+05  2.167e+00  2.071e+05  2.071e+05  5.250e+00  0.000e+00  2.073e+05 -1.791e+02  1.820e+00  3.154e+00  2.766e-01  0.000e+00
 0.0990  2.08222e+05  2.874e+00  2.082e+05  2.082e+05  4.529e+00  0.000e+00  2.084e+05 -1.796e+02  1.194e+00  3.079e+00  2.570e-01  0.000e+00
 0.1000  2.14793e+05  3.088e+00  2.148e+05  2.148e+05  4.316e+00  0.000e+00  2.150e+05 -1.800e+02  1.290e+00  2.794e+00  2.324e-01  0.000e+00
 0.1010  2.24042e+05  2.861e+00  2.240e+05  2.240e+05  4.557e+00  0.000e+00  2.242e+05 -1.803e+02  2.006e+00  2.348e+00  2.040e-01  0.000e+00
 0.1020  2.28760e+05  2.982e+00  2.288e+05  2.288e+05  4.446e+00  0.000e+00  2.289e+05 -1.803e+02  2.459e+00  1.814e+00  1.735e-01  0.000e+00
 0.1030  2.24479e+05  3.996e+00  2.245e+05  2.245e+05  3.424e+00  0.000e+00  2.247e+05 -1.798e+02  1.998e+00  1.283e+00  1.428e-01  0.000e+00
 0.1040  2.14168e+05  5.476e+00  2.142e+05  2.142e+05  1.927e+00  0.000e+00  2.143e+05 -1.789e+02  9.596e-01  8.537e-01  1.138e-01  0.000e+00
 0.1050  2.05121e+05  6.384e+00  2.051e+05  2.051e+05  1.009e+00  0.000e+00  2.053e+05 -1.780e+02  3.204e-01  6.003e-01  8.847e-02  0.000e+00
 0.1060  2.02531e+05  6.146e+00  2.025e+05  2.025e+05  1.255e+00  0.000e+00  2.027e+05 -1.773e+02  6.272e-01  5.597e-01  6.829e-02  0.000e+00
 0.1070  2.05676e+05  5.240e+00  2.057e+05  2.057e+05  2.179e+00  0.000e+00  2.058e+05 -1.769e+02  1.399e+00  7.248e-01  5.430e-02  0.000e+00
 0.1080  2.09145e+05  4.648e+00  2.091e+05  2.091e+05  2.778e+00  0.000e+00  2.093e+05 -1.768e+02  1.679e+00  1.052e+00  4.674e-02  0.000e+00
 0.1090  2.09866e+05  4.789e+00  2.099e+05  2.099e+05  2.627e+00  0.000e+00  2.100e+05 -1.771e+02  1.112e+00  1.470e+00  4.503e-02  0.000e+00
 0.1100  2.11539e+05  5.125e+00  2.115e+05  2.115e+05  2.277e+00  0.000e+00  2.117e+05 -1.776e+02  3.319e-01  1.898e+00  4.774e-02  0.000e+00
 0.1110  2.18844e+05  4.852e+00  2.188e+05  2.188e+05  2.548e+00  0.000e+00  2.190e+05 -1.784e+02  2.311e-01  2.265e+00  5.279e-02  0.000e+00
 0.1120  2.30288e+05  3.882e+00  2.303e+05  2.303e+05  3.532e+00  0.000e+00  2.305e+05 -1.791e+02  9.377e-01  2.537e+00  5.783e-02  0.000e+00
 0.1130  2.38538e+05  2.970e+00  2.385e+05  2.385e+05  4.457e+00  0.000e+00  2.387e+05 -1.796e+02  1.679e+00  2.718e+00  6.090e-02  0.000e+00
 0.1140  2.37287e+05  2.867e+00  2.373e+05  2.373e+05  4.558e+00  0.000e+00  2.375e+05 -1.796e+02  1.664e+00  2.834e+00  6.108e-02  0.000e+00
